Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG,,,
224,7/25/2012,4:51:39,11.2,0:20:25,10201,0.00E+00,0:01:18,23,13:46:13,,
225,7/25/2012,4:51:44,7.61,0:20:30,6921,6.55E-01,0:01:18,603,13:46:18,,
226,7/25/2012,5:04:18,10.2,0:20:36,9293,0.00E+00,0:01:22,23,13:58:52,,
227,7/25/2012,5:04:23,10.1,0:20:41,9196,0.00E+00,0:01:22,22,13:58:57,,
228,7/25/2012,5:04:28,10.1,0:20:46,9168,0.00E+00,0:01:22,23,13:59:02,,
229,7/25/2012,5:05:16,10.8,0:20:57,9808,0.00E+00,0:01:24,21,13:59:50,,
230,7/25/2012,5:05:21,10.7,0:21:03,9697,0.00E+00,0:01:24,23,13:59:55,,
231,7/25/2012,5:05:26,10.7,0:21:08,9742,0.00E+00,0:01:24,20,14:00:00,,
232,7/25/2012,5:05:31,10.6,0:21:13,9657,0.00E+00,0:01:24,26,14:00:05,,
233,7/25/2012,5:10:12,11.2,0:21:19,10217,0.00E+00,0:01:26,20,14:04:46,,
234,7/25/2012,5:10:18,11.9,0:21:24,10807,0.00E+00,0:01:26,22,14:04:52,,
235,7/25/2012,5:10:23,12.4,0:21:29,11245,0.00E+00,0:01:26,22,14:04:57,,
236,7/25/2012,5:10:28,12.1,0:21:34,10963,0.00E+00,0:01:26,22,14:05:02,,
237,7/25/2012,5:10:33,12,0:21:39,10903,0.00E+00,0:01:26,25,14:05:07,,
238,7/25/2012,5:10:38,11,0:21:44,9995,0.00E+00,0:01:26,22,14:05:12,,
239,7/25/2012,5:10:43,10.8,0:21:49,9848,0.00E+00,0:01:26,21,14:05:17,,
240,7/25/2012,5:10:48,11,0:21:54,9957,0.00E+00,0:01:26,18,14:05:22,,
241,7/25/2012,5:10:53,11,0:21:59,10012,0.00E+00,0:01:26,22,14:05:27,,
242,7/25/2012,5:10:58,11,0:22:04,9997,0.00E+00,0:01:26,22,14:05:32,,
243,7/25/2012,5:11:03,11,0:22:09,9963,0.00E+00,0:01:26,22,14:05:37,,
244,7/25/2012,5:12:06,11.1,0:22:16,10131,0.00E+00,0:01:28,23,14:06:40,,
245,7/25/2012,5:12:11,11.1,0:22:21,10120,0.00E+00,0:01:28,16,14:06:45,,
246,7/25/2012,5:12:16,11.1,0:22:26,10130,0.00E+00,0:01:28,25,14:06:50,,
247,7/25/2012,5:12:22,10.5,0:22:31,9545,0.00E+00,0:01:28,28,14:06:56,,
248,7/25/2012,5:15:37,11,0:22:39,9983,0.00E+00,0:01:31,28,14:10:11,,
249,7/25/2012,5:15:42,11,0:22:44,9957,0.00E+00,0:01:31,27,14:10:16,,
250,7/25/2012,5:15:47,10.9,0:22:49,9938,0.00E+00,0:01:31,27,14:10:21,,
251,7/25/2012,5:15:52,11.2,0:22:54,10178,0.00E+00,0:01:31,27,14:10:26,,
252,7/25/2012,5:15:57,10.9,0:22:59,9945,0.00E+00,0:01:31,27,14:10:31,,
253,7/25/2012,5:16:02,11,0:23:04,10020,0.00E+00,0:01:31,23,14:10:36,,
254,7/25/2012,5:16:41,11,0:23:11,9988,0.00E+00,0:01:33,20,14:11:15,,
255,7/25/2012,5:16:46,11.3,0:23:16,10235,0.00E+00,0:01:33,22,14:11:20,,
256,7/25/2012,5:16:51,11.2,0:23:21,10197,0.00E+00,0:01:33,22,14:11:25,,
257,7/25/2012,5:16:56,11,0:23:26,10033,0.00E+00,0:01:33,23,14:11:30,,
258,7/25/2012,5:18:03,11,0:23:33,9978,0.00E+00,0:01:35,26,14:12:37,,
259,7/25/2012,5:18:08,11,0:23:38,9957,0.00E+00,0:01:35,27,14:12:42,,
260,7/25/2012,5:18:13,11,0:23:43,9956,0.00E+00,0:01:35,22,14:12:47,,
261,7/25/2012,5:18:18,11,0:23:48,9963,0.00E+00,0:01:35,22,14:12:52,,
262,7/25/2012,5:18:23,11,0:23:53,9963,0.00E+00,0:01:35,22,14:12:57,,
263,7/25/2012,5:18:28,10.9,0:23:58,9951,0.00E+00,0:01:35,26,14:13:02,,
264,7/25/2012,5:18:33,10.8,0:24:03,9803,0.00E+00,0:01:35,21,14:13:07,,
265,7/25/2012,5:18:38,3.69,0:24:08,3358,1.15E+00,0:01:35,1050,14:13:12,,
266,7/25/2012,5:25:09,9.3,0:24:13,8450,0.00E+00,0:01:38,16,14:19:43,,
267,7/25/2012,5:25:14,9.28,0:24:18,8432,0.00E+00,0:01:38,25,14:19:48,,
268,7/25/2012,5:25:19,9.27,0:24:23,8421,0.00E+00,0:01:38,23,14:19:53,,
269,7/25/2012,5:25:25,9.27,0:24:28,8421,0.00E+00,0:01:38,27,14:19:59,,
